job_title,matched_standard_role
"Chief, Securities System Dept. 4",Information Technology Security Manager
Councilor,Public Sector
poet,Author
Section Officer,Information Technology Manager
section chief,Information Technology Manager
Manager TCR,Information Technology Manager
Manager (Software Engineering Team),Information Technology Manager
Manager G,Information Technology Manager
Manager Expert,Information Technology Manager
"Section Manager, Group Manager",Information Technology Manager
"Section Manager, Senior Manager",Information Technology Manager
Manager Specialist,Information Technology Manager
"Manager, Marketing Director",Marketing Director
Manager Manager,Information Technology Manager
Deputy Manager,Information Technology Manager
Section Manager and Manager of the Next System Project Team,Information Technology Manager
"Section Manager, Section Manager in Charge",Information Technology Manager
"Section Manager, Section Manager Class",Information Technology Manager
Section Manager/G4,Information Technology Manager
Section Manager/Project Manager,Project Manager
Section Manager_MANAGER,Information Technology Manager
Section Manager_TCR,Information Technology Manager
Section Manager / Leader,Information Technology Manager
Manager TCR,Information Technology Manager
Section Manager Class,Information Technology Manager
Section Manager Class Section Manager,Information Technology Manager
Deputy Manager,Information Technology Manager
"Deputy Manager, IT Specialist",Information Technology Manager
"Deputy Manager, Sales Leader",Sales Manager
"Deputy Manager, Information Technology",Information Technology Manager
Acting Manager,Information Technology Manager
Section Manager,Information Technology Manager
Section Manager,Information Technology Manager
Assistant Manager,Information Technology Manager
Assistant Manager (Planning & Human Resources),Planning Manager
Assistant Manager TCR,Information Technology Manager
Research & Assistant,Surveyor
examiner,Surveyor
Investigator,Surveyor
Head of Research,Research and Development Manager
Principal Investigator,Research Development Researcher
Procurement IT system planning/development,Information Technology Procurement
Procurement Assistant,Purchaser
Procurement Manager,Procurement Manager
lecturer,Lecturer
guard,Public Safety Professional
"Chief of Staff, Security Department",Public Sector Manager
Lieutenant,Public Sector
"Takeshi Taniguchi, North Tohoku Regional Management Section Manager, Clerical Staff",Administration Manager
"Takanori Taniguchi, Shibukawa Branch, Deputy Branch Manager, Sales Position",Sales Manager
"Finance & Facilities Department, System Management Section, Section Manager",Information Technology Manager
Financial Accounting,Corporate Finance Specialist
"Deputy General Manager, Financial Strategy Office",Finance Manager
Treasurer,Finance Manager
Finance Officer,Chief Financial Officer
Financial Administrator,Finance Manager
Finance & Accounting,Financial Professional
Finance & Accounting Manager,Accounting Manager
"Finance & Accounting Department, IT Planning Group, Section Manager Class",Information Technology Manager
Finance Department,Finance Specialist
"Finance Department, IT",Information Technology Generalist
"Finance Department, Business Planning Supervisor, Accounting DX Promotion Chief Inspector /CONCURRENT POST",Accounting Manager
Finance,Financial Professional
sale,Sales Specialist
Sales Supervisor,Sales Supervisor
Sales Forecasting,Sales Specialist
sales promotion,Sales Employee
Sales-to Representative,Sales Supervisor
salesperson,Salesperson
Sales Promotion,Sales Employee
Sales Assistance,Support Specialist
"Sales Contact, General Affairs TCR",Sales Employee
Responsible Party,Information Technology Manager
Responsible Party: TCR,Information Technology Manager
Materials & Purchasing Other,Purchaser
Materials & Purchasing General Employees,Purchaser
Materials & Purchasing Chief/Section Manager Class,Purchasing Manager
Materials & Purchasing Division Manager Class,Purchasing Manager
Materials & Purchasing Section Manager Class,Purchasing Manager
Materials & Purchasing General Manager Class,Purchasing Manager
In charge of materials,Procurement Manager
Asset Management,Property Manager
Purchased the head of the Business Innovation Office of the Logistics Management Department,Innovation Manager
